Team,Possession,Shots on target,Shots,Touches,Passes,Tackles,Clearances,Corners,Offsides,Goal,Year,Home,Result
Everton,49.6,4,20,603,398,22,27,4,4,2,2012,1,1
Tottenham Hotspur,50.4,5,12,626,403,22,48,5,0,1,2012,0,0
Manchester City,56.2,9,18,698,481,16,20,8,4,2,2012,1,0
Manchester United,43.8,3,10,575,372,28,37,2,4,3,2012,0,1
West Ham United,38.6,4,11,557,308,27,37,2,5,2,2012,1,0
Liverpool,61.4,4,17,754,535,22,39,5,1,3,2012,0,1
Fulham,45.3,7,16,635,401,25,43,5,0,2,2012,1,1
Newcastle United,54.7,8,20,714,475,19,41,4,1,1,2012,0,0
Sunderland,49.3,8,16,611,384,21,60,6,3,3,2012,1,1
Reading,50.7,3,15,589,386,19,26,8,2,0,2012,0,0
Liverpool,72.1,8,29,780,564,11,13,7,3,1,2012,1,0
Aston Villa,27.9,6,11,422,211,25,53,2,0,3,2012,0,1
Manchester United,61.5,5,16,727,520,15,42,9,2,3,2012,1,1
Sunderland,38.5,7,15,500,307,23,20,9,1,1,2012,0,0
Newcastle United,53.7,5,17,630,405,20,33,12,0,1,2012,1,0
Manchester City,46.3,8,17,596,357,27,54,7,5,3,2012,0,1
Norwich City,48.2,8,17,616,417,20,18,7,1,2,2012,1,1
Wigan Athletic,51.8,4,14,668,453,19,25,3,6,1,2012,0,0
Queens Park Rangers,44.9,6,20,575,404,17,38,3,2,2,2012,1,1
Fulham,55.1,2,5,675,486,9,23,3,2,1,2012,0,0
Stoke City,48.7,5,13,530,328,14,26,4,1,1,2012,1,2
Everton,51.3,2,10,550,338,25,41,8,1,1,2012,0,2
Tottenham Hotspur,49.9,8,29,691,476,19,33,9,1,1,2012,1,1
Swansea City,50.1,0,3,664,481,19,19,3,5,0,2012,0,0
West Bromwich Albion,55.3,4,20,623,394,12,39,8,2,0,2012,1,2
West Ham United,44.7,2,12,531,323,18,53,2,0,0,2012,0,2
Reading,32.9,3,9,525,339,12,26,3,5,2,2012,1,0
Arsenal,67.1,13,26,911,718,16,17,7,3,5,2012,0,1
Liverpool,55.6,9,23,740,553,24,18,8,2,4,2012,1,1
Fulham,44.4,4,8,622,431,19,21,2,0,0,2012,0,0
Manchester City,73.3,3,21,867,677,8,24,12,0,1,2012,1,1
Reading,26.7,1,5,409,235,15,36,3,1,0,2012,0,0
Newcastle United,58.6,4,21,643,411,11,36,10,2,1,2012,1,1
Queens Park Rangers,41.4,3,4,528,303,20,48,3,6,0,2012,0,0
Southampton,57.6,2,12,660,444,10,20,8,2,0,2012,1,0
Sunderland,42.4,5,10,526,330,16,46,5,2,1,2012,0,1
Tottenham Hotspur,63.2,5,22,682,433,24,44,11,1,0,2012,1,2
Stoke City,36.8,1,4,484,254,25,54,4,2,0,2012,0,2
West Bromwich Albion,49.6,6,13,584,393,15,29,6,2,2,2012,1,1
Norwich City,50.4,3,10,598,408,15,28,5,0,1,2012,0,0
West Ham United,37.7,2,6,458,270,11,40,3,3,1,2012,1,0
Everton,62.3,7,18,653,452,14,37,5,6,2,2012,0,1
Wigan Athletic,50.4,3,14,679,487,25,11,4,5,0,2012,1,0
Arsenal,49.6,4,11,685,480,16,21,4,1,1,2012,0,1
Chelsea,56.6,15,26,737,559,14,18,8,3,8,2012,1,1
Aston Villa,43.4,1,7,613,420,19,27,4,5,0,2012,0,0
Swansea City,40.3,9,14,586,390,16,44,3,3,1,2012,1,2
Manchester United,59.7,7,20,752,574,14,18,6,0,1,2012,0,2
Aston Villa,40.9,1,4,569,343,17,48,2,4,0,2012,1,0
Tottenham Hotspur,59.1,9,21,707,486,14,18,16,1,4,2012,0,1
Everton,47.3,3,17,612,398,22,18,11,2,2,2012,1,1
Wigan Athletic,52.7,3,11,662,465,11,35,2,1,1,2012,0,0
Fulham,50.6,1,9,635,430,19,34,3,2,1,2012,1,2
Southampton,49.4,3,8,647,400,17,43,5,3,1,2012,0,2
Manchester United,60.7,7,15,666,467,10,42,2,3,4,2012,1,1
Newcastle United,39.3,7,15,493,297,20,32,2,0,3,2012,0,0
Norwich City,36.9,1,9,548,358,20,22,5,4,0,2012,1,0
Chelsea,63.1,3,18,828,635,17,31,7,1,1,2012,0,1
Queens Park Rangers,49.8,5,21,596,329,18,35,14,2,1,2012,1,0
West Bromwich Albion,50.2,4,12,552,348,26,36,9,3,2,2012,0,1
